=== Evaluation Scores ===

Per-Scene Scores:
  f5c2e696cb86b701_00054: psnr=29.7670, ssim= 0.9321, lpips= 0.0862
  54fe098cef530a7f_00024: psnr=34.9468, ssim= 0.9669, lpips= 0.0589
  fa81f29d350eace3_00005: psnr=33.3987, ssim= 0.9552, lpips= 0.0476
  b7ae0d63cd88cb7e_00005: psnr=36.5232, ssim= 0.9758, lpips= 0.0592
  ae5c26bc7fe988ea_00012: psnr=38.1873, ssim= 0.9702, lpips= 0.0199
  dc6c3a7310c42e07_00001: psnr=30.7993, ssim= 0.9521, lpips= 0.0512
  7983738c2b4adad4_00014: psnr=32.1254, ssim= 0.9596, lpips= 0.0539
  71a27a839592fb3a_00000: psnr=32.4338, ssim= 0.9287, lpips= 0.0568
  1a8466443ffdc6c5_00007: psnr=36.0127, ssim= 0.9694, lpips= 0.0587
  774aa648451ced87_00074: psnr=30.7476, ssim= 0.9478, lpips= 0.0885
  975e3b9c0ee44348_00198: psnr=33.6424, ssim= 0.9616, lpips= 0.0527
  7d1a68f312ba2d95_00067: psnr=27.9388, ssim= 0.9146, lpips= 0.0994
  505a86992cc1b6ce_00005: psnr=28.4456, ssim= 0.9077, lpips= 0.0811
  414e2bf42ee45cc4_00161: psnr=33.1063, ssim= 0.9343, lpips= 0.0836
  e9b6564434ba856f_00002: psnr=35.6943, ssim= 0.9753, lpips= 0.0349
  e14fc8cb91357b29_00018: psnr=32.8617, ssim= 0.9409, lpips= 0.0963
  7b88a7e1a069a93a_00029: psnr=29.2333, ssim= 0.9239, lpips= 0.0922
  ee9503a872caad73_00006: psnr=42.9024, ssim= 0.9893, lpips= 0.0236
  399cfd9cfacc0499_00004: psnr=29.9164, ssim= 0.9203, lpips= 0.0826
  1203cc23b881ab8d_00055: psnr=28.4846, ssim= 0.9428, lpips= 0.0643
  8c5cc2b59d236f7f_00015: psnr=26.9424, ssim= 0.9239, lpips= 0.0867
  40904cd4b9e0579d_00052: psnr=31.7105, ssim= 0.9582, lpips= 0.0388
  2e4cac06a4f92261_00002: psnr=28.5488, ssim= 0.9010, lpips= 0.1043
  fe485c8b96b46c0a_00015: psnr=35.8207, ssim= 0.9485, lpips= 0.0541
  00e8df74b6805da7_00028: psnr=32.1144, ssim= 0.9597, lpips= 0.0671
  074653ff3928b9fe_00017: psnr=36.0294, ssim= 0.9759, lpips= 0.0350
  dff51d96b59df454_00031: psnr=40.0640, ssim= 0.9868, lpips= 0.0393
  d879362410eaf691_00001: psnr=27.6390, ssim= 0.8825, lpips= 0.1469
  60bf89b196577c8c_00005: psnr=31.3235, ssim= 0.9446, lpips= 0.0651
  3176f1532a468cbd_00008: psnr=39.0003, ssim= 0.9858, lpips= 0.0351
  0dd9e020b6d9d687_00000: psnr=32.7295, ssim= 0.9591, lpips= 0.0575
  4091c41c6909da3b_00060: psnr=38.1315, ssim= 0.9790, lpips= 0.0393
  754f7a46cc9770c6_00003: psnr=40.3437, ssim= 0.9799, lpips= 0.0415
  a14cdbc8771393d1_00031: psnr=30.4524, ssim= 0.9618, lpips= 0.0395
  2a8ef9e44f580d13_00021: psnr=28.2351, ssim= 0.9016, lpips= 0.0687
  df0389efcc51ac2d_00007: psnr=26.7558, ssim= 0.9189, lpips= 0.1003
  8cebe36289a4d5a0_00013: psnr=31.9609, ssim= 0.9508, lpips= 0.0400
  86cdad3c34f3941f_00010: psnr=33.5206, ssim= 0.9597, lpips= 0.0398
  3533396ef5f351ba_00038: psnr=23.0966, ssim= 0.7807, lpips= 0.1281
  15d4a976e4e7d3dd_00187: psnr=28.2190, ssim= 0.9364, lpips= 0.1257
  523bc6753cd13644_00020: psnr=27.8299, ssim= 0.8789, lpips= 0.0964
  e49065bc8c694f0d_00011: psnr=35.3527, ssim= 0.9684, lpips= 0.0616
  dfa54c21e3d2feb4_00010: psnr=35.0631, ssim= 0.9686, lpips= 0.0440
  3aaed2e6422d7d57_00137: psnr=32.2410, ssim= 0.9647, lpips= 0.0673
  2a3baeaa72b86812_00013: psnr=33.3321, ssim= 0.9442, lpips= 0.0771
  f71f8b27e6ef3f7e_00014: psnr=26.2128, ssim= 0.8161, lpips= 0.1224
  d42ca7833cd982fb_00014: psnr=31.3474, ssim= 0.9654, lpips= 0.0649
  145708c0216a06a7_00025: psnr=27.0283, ssim= 0.9240, lpips= 0.0848
  156f4c7dca878ff2_00024: psnr=31.2969, ssim= 0.9295, lpips= 0.0709
  c85f1c5375e60e21_00011: psnr=28.3556, ssim= 0.9499, lpips= 0.0594
  73c5bc59df929e8d_00016: psnr=35.9011, ssim= 0.9705, lpips= 0.0921
  d25404ee1e0c0607_00000: psnr=39.1401, ssim= 0.9858, lpips= 0.0622
  7323eacf27a3f67b_00179: psnr=37.9485, ssim= 0.9745, lpips= 0.0525
  4b85062505816744_00026: psnr=34.9865, ssim= 0.9717, lpips= 0.0535
  4803cf5deca2b38a_00011: psnr=25.9545, ssim= 0.9316, lpips= 0.0892
