=== Evaluation Scores ===

Per-Scene Scores:
  3176f1532a468cbd_00008: psnr=33.5513, ssim= 0.9666, lpips= 0.0884
  0dd9e020b6d9d687_00000: psnr=31.1387, ssim= 0.9489, lpips= 0.1113
  4091c41c6909da3b_00060: psnr=35.1176, ssim= 0.9580, lpips= 0.0966
  754f7a46cc9770c6_00003: psnr=32.4610, ssim= 0.9480, lpips= 0.0959
  a14cdbc8771393d1_00031: psnr=26.5647, ssim= 0.8967, lpips= 0.1038
  2a8ef9e44f580d13_00021: psnr=27.8174, ssim= 0.8892, lpips= 0.1265
  df0389efcc51ac2d_00007: psnr=24.1425, ssim= 0.8874, lpips= 0.1709
  8cebe36289a4d5a0_00013: psnr=28.8557, ssim= 0.9012, lpips= 0.1058
  86cdad3c34f3941f_00010: psnr=29.7829, ssim= 0.9238, lpips= 0.1035
  3533396ef5f351ba_00038: psnr=22.3661, ssim= 0.7492, lpips= 0.2361
  15d4a976e4e7d3dd_00187: psnr=23.3575, ssim= 0.9153, lpips= 0.2001
  523bc6753cd13644_00020: psnr=26.3132, ssim= 0.7924, lpips= 0.1882
  e49065bc8c694f0d_00011: psnr=34.0956, ssim= 0.9545, lpips= 0.1270
  dfa54c21e3d2feb4_00010: psnr=31.6129, ssim= 0.9286, lpips= 0.1174
  3aaed2e6422d7d57_00137: psnr=31.8809, ssim= 0.9525, lpips= 0.1238
  2a3baeaa72b86812_00013: psnr=31.6450, ssim= 0.9197, lpips= 0.1519
  f71f8b27e6ef3f7e_00014: psnr=23.9898, ssim= 0.8437, lpips= 0.1832
  d42ca7833cd982fb_00014: psnr=28.2155, ssim= 0.9375, lpips= 0.1314
  145708c0216a06a7_00025: psnr=24.3835, ssim= 0.8723, lpips= 0.1475
  156f4c7dca878ff2_00024: psnr=26.8002, ssim= 0.9298, lpips= 0.1392
  c85f1c5375e60e21_00011: psnr=27.8592, ssim= 0.9293, lpips= 0.1139
  73c5bc59df929e8d_00016: psnr=34.1927, ssim= 0.9578, lpips= 0.1408
  d25404ee1e0c0607_00000: psnr=34.7790, ssim= 0.9755, lpips= 0.1042
  7323eacf27a3f67b_00179: psnr=35.1758, ssim= 0.9517, lpips= 0.1132
  4b85062505816744_00026: psnr=31.8003, ssim= 0.9469, lpips= 0.1192
  4803cf5deca2b38a_00011: psnr=23.8911, ssim= 0.9137, lpips= 0.1544
  848971384d2e2956_00024: psnr=29.4893, ssim= 0.9266, lpips= 0.0950
  e9f1e4315562d02c_00038: psnr=26.4371, ssim= 0.8585, lpips= 0.1455
  03e756bff92d49dd_00007: psnr=24.9206, ssim= 0.9088, lpips= 0.1474
  68aaef5b574f98d5_00140: psnr=23.7307, ssim= 0.7790, lpips= 0.1892
  cbe038e8be4f6b96_00005: psnr=29.0567, ssim= 0.9490, lpips= 0.1308
  2fdfa70413053b84_00018: psnr=27.6660, ssim= 0.9306, lpips= 0.1712
  701ee1118e22239d_00003: psnr=32.9130, ssim= 0.9629, lpips= 0.1637
  a942b6e69847940b_00002: psnr=32.8920, ssim= 0.9136, lpips= 0.1279
  96a7bdbfc462408d_00192: psnr=33.5552, ssim= 0.9480, lpips= 0.0948
  2177ca3a775a9ee9_00104: psnr=27.9964, ssim= 0.9361, lpips= 0.1569
  b62fcc6856e45647_00019: psnr=22.4599, ssim= 0.7689, lpips= 0.2165
  03a78406de1d0993_00005: psnr=20.5247, ssim= 0.6553, lpips= 0.2783
  281452e730c39fd0_00046: psnr=27.3741, ssim= 0.9229, lpips= 0.1187
  44095e87bee5475e_00059: psnr=23.9373, ssim= 0.7890, lpips= 0.2336
  436a235ed74c3d89_00059: psnr=25.0954, ssim= 0.8239, lpips= 0.1990
  bece0bcf62400bce_00052: psnr=22.9377, ssim= 0.8354, lpips= 0.2513
  d7c79e9bf6b0e42e_00026: psnr=32.1433, ssim= 0.9285, lpips= 0.0974
  c0677cb9b8d767a6_00157: psnr=19.4141, ssim= 0.7621, lpips= 0.3511
  b67312c3e1dbea65_00015: psnr=31.2565, ssim= 0.9531, lpips= 0.1593
  46a39a38f2c09d34_00000: psnr=25.2245, ssim= 0.8145, lpips= 0.1620
  f23ea66496d4592c_00011: psnr=34.3852, ssim= 0.9411, lpips= 0.1229
  0e8995dcbdd22f48_00027: psnr=27.1102, ssim= 0.9031, lpips= 0.1934
  f32643006f1260b9_00034: psnr=24.2951, ssim= 0.7937, lpips= 0.2431
  8c5136bca99f6b66_00000: psnr=30.7871, ssim= 0.9271, lpips= 0.1444
  b4ccda687d2470b1_00081: psnr=28.7250, ssim= 0.9214, lpips= 0.1650
  edba67643c40b399_00077: psnr=30.6144, ssim= 0.9365, lpips= 0.1193
  4a582ee23dd05a8d_00095: psnr=27.3969, ssim= 0.9287, lpips= 0.1528
  4ce58504b055463e_00074: psnr=27.3128, ssim= 0.8942, lpips= 0.1918
  de589d5890b4e6e8_00002: psnr=31.2531, ssim= 0.9351, lpips= 0.1241
  6c99592614256138_00056: psnr=27.5455, ssim= 0.9211, lpips= 0.1104
  1bc87c160d1dc982_00012: psnr=32.4271, ssim= 0.9549, lpips= 0.0877
  5994761c53eb75ff_00000: psnr=28.7423, ssim= 0.8257, lpips= 0.1996
  774712243467068c_00006: psnr=30.8120, ssim= 0.9010, lpips= 0.1793
  bfd1e3bcdbf0fbb9_00003: psnr=29.3682, ssim= 0.9120, lpips= 0.1187
  bc7ce58a16724386_00005: psnr=24.1787, ssim= 0.8718, lpips= 0.1644
  c19cc383d575e722_00044: psnr=31.6023, ssim= 0.9523, lpips= 0.1399
  cfa392a515fbe36a_00002: psnr=30.0717, ssim= 0.9324, lpips= 0.1280
  e87c0a291ec4a45d_00004: psnr=30.6427, ssim= 0.9512, lpips= 0.1089
  b352534bdedb50b3_00005: psnr=36.0069, ssim= 0.9730, lpips= 0.0726
  5331fddb30f9132e_00006: psnr=32.2639, ssim= 0.9484, lpips= 0.0978
  52aef823cc9a031c_00020: psnr=31.0478, ssim= 0.9487, lpips= 0.1481
  a6d75912a7fb7e91_00029: psnr=29.7890, ssim= 0.9262, lpips= 0.1433
  374fa34fe701a30d_00002: psnr=34.1681, ssim= 0.9653, lpips= 0.0720
  3dba1838ed366ab5_00017: psnr=31.3381, ssim= 0.9603, lpips= 0.1184
  2341162bce213f2e_00051: psnr=25.4431, ssim= 0.8940, lpips= 0.1602
  cb6b6e325aaafcc9_00033: psnr=32.5313, ssim= 0.9441, lpips= 0.1080
  e5fec092b986596d_00009: psnr=24.7326, ssim= 0.8833, lpips= 0.1521
  11eb02d24a3241a9_00002: psnr=33.9422, ssim= 0.9612, lpips= 0.0906
  d5a254717822d28b_00158: psnr=32.9806, ssim= 0.9428, lpips= 0.1020
  ef1457995bca9afd_00002: psnr=31.2346, ssim= 0.9366, lpips= 0.1071
  14cdf4aa7a2de14b_00011: psnr=24.5726, ssim= 0.9092, lpips= 0.2123
  18c6473be3bd827a_00001: psnr=24.7659, ssim= 0.7913, lpips= 0.1783
  3dc0058dce3828d9_00021: psnr=26.9738, ssim= 0.9250, lpips= 0.1167
  c34b59ec59eb886c_00007: psnr=25.8443, ssim= 0.8907, lpips= 0.1886
  f1cf2e1b45e3c789_00107: psnr=30.1932, ssim= 0.9501, lpips= 0.1265
  a0dda4b2ec17cde1_00021: psnr=22.9968, ssim= 0.7829, lpips= 0.2723
  ee135ea99ddcb32e_00058: psnr=33.2451, ssim= 0.9398, lpips= 0.1072
  8debcd56accec5c3_00008: psnr=32.8447, ssim= 0.9538, lpips= 0.1107
  27382fa047b4681a_00007: psnr=26.3173, ssim= 0.7275, lpips= 0.2477
  c439c3b3d45d651d_00050: psnr=29.7869, ssim= 0.9003, lpips= 0.1604
  127884736471b631_00089: psnr=25.6557, ssim= 0.7395, lpips= 0.2528
  753ccd3da86a8cd8_00088: psnr=21.2780, ssim= 0.8618, lpips= 0.2316
  cac91919db0b7a85_00022: psnr=21.1168, ssim= 0.8607, lpips= 0.2398
