scene,psnr,ssim,lpips
2d4efa3897a4ba2d_00004,29.8031,0.909,0.1047
5605c576fc904f00_00022,29.7933,0.9418,0.1296
a6d75912a7fb7e91_00029,29.789,0.9262,0.1433
c439c3b3d45d651d_00050,29.7869,0.9003,0.1604
674dabef8f53b566_00009,29.7856,0.917,0.1102
86cdad3c34f3941f_00010,29.7829,0.9238,0.1035
fe485c8b96b46c0a_00015,29.7555,0.8984,0.1348
ce42e1a9588440c8_00083,29.7524,0.9237,0.1428
4ef560091d948f8e_00063,29.7147,0.9415,0.1051
3b59c7d97b900724_00018,29.6968,0.902,0.1389
22da7610855d6b9d_00050,29.6748,0.9073,0.1705
00a5a2af678f37d5_00043,29.6634,0.9314,0.185
2f5af4b429b2c992_00056,29.6522,0.9277,0.134
05b1462991e38e4d_00134,29.6442,0.8925,0.1439
6dbe9b5b5e77c8a6_00025,29.6359,0.9351,0.1951
f33a903d5af68764_00025,29.6056,0.9091,0.1509
45e81a557d2dd78b_00050,29.6027,0.9414,0.1326
90db3a1e61834d39_00078,29.5576,0.9221,0.1305
5ee7f79d21f7e482_00036,29.5502,0.9517,0.1467
3613c77d8c234008_00012,29.5226,0.9463,0.1313
2445756494ef6e3d_00025,29.4989,0.8833,0.1253
ec954095edaf0f9f_00091,29.4957,0.9379,0.1087
6b1138e2149920fd_00021,29.4949,0.9267,0.1178
848971384d2e2956_00024,29.4893,0.9266,0.095
f13001de94f7dee7_00003,29.4351,0.9444,0.1536
bf426e89f74b4447_00007,29.425,0.9286,0.1211
17f552ef56d85c55_00020,29.402,0.9391,0.0949
f91fbdea76207935_00022,29.3981,0.9653,0.134
bfd1e3bcdbf0fbb9_00003,29.3682,0.912,0.1187
40904cd4b9e0579d_00052,29.3565,0.9272,0.0913
774aa648451ced87_00074,29.3563,0.9366,0.1495
c48f19e2ffa52523_00195,29.3329,0.8992,0.1622
00e8df74b6805da7_00028,29.3045,0.9343,0.1299
e1afd89a69ee6947_00034,29.2851,0.9318,0.1466
2b0b2259a7216762_00100,29.2466,0.9534,0.1076
308681a294d1417b_00035,29.2272,0.9433,0.1464
3087828bc27bc4c7_00015,29.2151,0.9239,0.1339
16b8ab24bd231f9a_00116,29.1989,0.8653,0.1731
af591254c5c30d9f_00054,29.1692,0.9286,0.1134
b70c3d4dcc51f866_00009,29.1248,0.9408,0.1291
a1d38185b8f59a4b_00005,29.1109,0.8755,0.142
d4127110de7604d3_00149,29.1098,0.9065,0.117
8a8289629784b1ba_00009,29.0647,0.9442,0.1435
27daccf898b206de_00004,29.0619,0.8439,0.1411
cbe038e8be4f6b96_00005,29.0567,0.949,0.1308
5c5990b304509a47_00034,29.0494,0.8983,0.1302
f14791aec34dbdcd_00005,28.9989,0.8927,0.1331
dc90deddeacc3d26_00041,28.9718,0.9253,0.1555
9b1df103d73ce624_00017,28.9195,0.8792,0.2029
214df1c2863d2959_00045,28.8994,0.897,0.1047
7695e3556b39ab92_00018,28.8958,0.9078,0.2325
90a62bad0442448d_00031,28.8588,0.9324,0.1107
8cebe36289a4d5a0_00013,28.8557,0.9012,0.1058
818ddc806c9e8f79_00005,28.8483,0.8294,0.1322
7d1a68f312ba2d95_00067,28.8297,0.9207,0.1547
9e2a8cc5f32dd46b_00075,28.8278,0.9281,0.1169
c6a2f7ebc0c4c497_00039,28.8029,0.8776,0.1536
3953f37661087a95_00014,28.7972,0.9332,0.1282
b4ad7779e82513ad_00094,28.7962,0.8285,0.1928
54f97b513d76b3fb_00176,28.7734,0.8833,0.1329
5994761c53eb75ff_00000,28.7423,0.8257,0.1996
1addb7e6bbea3eae_00172,28.7323,0.8892,0.1536
b4ccda687d2470b1_00081,28.725,0.9214,0.165
c76111d57845c911_00026,28.6568,0.9351,0.142
813895d9ceb3f376_00084,28.6258,0.9183,0.2402
7c7bc5285126e6ad_00064,28.5894,0.9143,0.1004
89ea49cd9865aeff_00031,28.5735,0.9297,0.1348
f2e037fd936aac25_00042,28.5727,0.9421,0.1019
5c909c802eb6edb1_00013,28.5541,0.8875,0.1502
8b7fd0f7face0559_00011,28.376,0.8812,0.1476
896664cbc4822c57_00122,28.3669,0.8928,0.1411
84a2ee4663daf456_00031,28.3036,0.9273,0.1384
2da2eeb966bc0ef8_00030,28.3027,0.8399,0.1875
cf2f6b8cf233a07d_00059,28.2616,0.8568,0.16
d42ca7833cd982fb_00014,28.2155,0.9375,0.1314
79ce50fb7b021e1d_00212,28.2044,0.8781,0.1573
e124dfa7e996a414_00048,28.1336,0.9338,0.1239
44a85c75cf4a6da8_00045,28.0896,0.9438,0.1388
2177ca3a775a9ee9_00104,27.9964,0.9361,0.1569
34766105ea9d7a2b_00007,27.9895,0.9042,0.132
d438687082422f1e_00169,27.9615,0.9052,0.158
5d06d35cfc4d456e_00042,27.9497,0.9053,0.1224
b4b95f8961518954_00026,27.9216,0.9367,0.15
6ed53f7a04720147_00028,27.8771,0.8803,0.176
c85f1c5375e60e21_00011,27.8592,0.9293,0.1139
2a8ef9e44f580d13_00021,27.8174,0.8892,0.1265
6361aae2376e35b3_00042,27.8089,0.866,0.1488
e68dd764c51470c0_00027,27.7533,0.8982,0.1567
c7ca0f0e3baf1c3a_00002,27.7471,0.9344,0.1525
7b88a7e1a069a93a_00029,27.7259,0.8879,0.1741
fa81f29d350eace3_00005,27.7153,0.8831,0.1354
ff821ee982e8f194_00050,27.7127,0.9071,0.134
edcd819612829ef6_00007,27.6776,0.9331,0.1351
2fdfa70413053b84_00018,27.666,0.9306,0.1712
9978d648c785ca9f_00012,27.6396,0.8729,0.1465
14f477e7d5af5b91_00017,27.609,0.9309,0.1589
20d86cff490c0c42_00018,27.5856,0.9265,0.1259
b6b1244092471403_00082,27.5837,0.8992,0.1787
6c99592614256138_00056,27.5455,0.9211,0.1104
