=== Evaluation Scores ===

Per-Scene Scores:
  5c909c802eb6edb1_00013: psnr=26.2745, ssim= 0.8378, lpips= 0.1710
  af618ffabf190d3a_00000: psnr=30.5968, ssim= 0.9245, lpips= 0.1146
  59636f39d067119d_00000: psnr=32.2953, ssim= 0.9244, lpips= 0.0942
  82afd7cd03ef7111_00039: psnr=31.3407, ssim= 0.9518, lpips= 0.1164
  341c4533fbcb15a4_00012: psnr=22.7388, ssim= 0.8486, lpips= 0.1548
  9d0939c256269554_00036: psnr=33.2376, ssim= 0.9621, lpips= 0.1192
  4a763e1b87e495a7_00024: psnr=36.0496, ssim= 0.9601, lpips= 0.0683
  2e4c69143b09033c_00013: psnr=22.0280, ssim= 0.7248, lpips= 0.2009
  33afdeba3cd5af05_00054: psnr=22.3273, ssim= 0.8276, lpips= 0.1809
  6361aae2376e35b3_00042: psnr=27.9017, ssim= 0.8649, lpips= 0.1499
  51973bc28ad2030d_00000: psnr=26.7419, ssim= 0.8757, lpips= 0.1336
  45e81a557d2dd78b_00050: psnr=29.8835, ssim= 0.9447, lpips= 0.1318
  ae4090e8832b90f9_00165: psnr=23.0548, ssim= 0.7707, lpips= 0.2175
  bfcc43cb05071cf7_00020: psnr=22.5580, ssim= 0.7751, lpips= 0.2579
  12a70416c92a9483_00042: psnr=25.0758, ssim= 0.7769, lpips= 0.2466
  90db3a1e61834d39_00078: psnr=27.2004, ssim= 0.8978, lpips= 0.1426
  531e3acf16289429_00003: psnr=34.0616, ssim= 0.9448, lpips= 0.0930
  3a79b9aefafb0b8d_00003: psnr=20.8307, ssim= 0.7130, lpips= 0.2226
  309bed43e4406d72_00012: psnr=18.2422, ssim= 0.6357, lpips= 0.3303
  ebb5e70d56341020_00032: psnr=24.5670, ssim= 0.6037, lpips= 0.2498
  b8a96066ff35db86_00030: psnr=26.1728, ssim= 0.7313, lpips= 0.2902
  e050b07b90580dba_00025: psnr=32.2661, ssim= 0.9500, lpips= 0.1190
  5ee7f79d21f7e482_00036: psnr=29.4833, ssim= 0.9498, lpips= 0.1510
  d4127110de7604d3_00149: psnr=28.9662, ssim= 0.8962, lpips= 0.1198
  2b0b2259a7216762_00100: psnr=30.0701, ssim= 0.9558, lpips= 0.1053
  2445756494ef6e3d_00025: psnr=27.1158, ssim= 0.8303, lpips= 0.1502
  6eaf7b55c0a59be9_00106: psnr=27.6185, ssim= 0.8943, lpips= 0.1878
  37de8da2580d0c1d_00037: psnr=29.3362, ssim= 0.9242, lpips= 0.1564
  1defdda324307269_00071: psnr=22.2969, ssim= 0.7536, lpips= 0.2797
  eae986c8f31081cc_00051: psnr=38.0074, ssim= 0.9678, lpips= 0.0996
  575fc7cbb9b2d352_00021: psnr=24.2195, ssim= 0.8746, lpips= 0.1948
  8038a001feaffb7b_00003: psnr=31.6785, ssim= 0.9567, lpips= 0.1179
  8453005c232016c7_00036: psnr=26.9215, ssim= 0.9052, lpips= 0.1253
  b6b1244092471403_00082: psnr=26.9181, ssim= 0.8854, lpips= 0.1844
  90131e866868c2f6_00027: psnr=23.7446, ssim= 0.8336, lpips= 0.1810
  ff4c8a31f4153121_00017: psnr=19.8391, ssim= 0.7963, lpips= 0.2195
  dc90deddeacc3d26_00041: psnr=27.7655, ssim= 0.9079, lpips= 0.1613
  45823117f0acb627_00017: psnr=29.6993, ssim= 0.8680, lpips= 0.1451
  6584cfd8b9eb91f0_00003: psnr=28.7693, ssim= 0.9118, lpips= 0.1309
  45a00d135c5388fc_00012: psnr=39.7473, ssim= 0.9787, lpips= 0.1023
  2c9018ef57c6b061_00019: psnr=35.5166, ssim= 0.9518, lpips= 0.1131
  b21d13ea38d9ac79_00002: psnr=30.6174, ssim= 0.9179, lpips= 0.0976
  4c8fd5318ae8d467_00161: psnr=31.9503, ssim= 0.9382, lpips= 0.1354
  f5c2e696cb86b701_00054: psnr=30.0613, ssim= 0.9331, lpips= 0.1515
  54fe098cef530a7f_00024: psnr=33.3588, ssim= 0.9560, lpips= 0.1103
  fa81f29d350eace3_00005: psnr=25.7573, ssim= 0.8331, lpips= 0.1508
  b7ae0d63cd88cb7e_00005: psnr=33.4843, ssim= 0.9641, lpips= 0.1199
  ae5c26bc7fe988ea_00012: psnr=32.7848, ssim= 0.9205, lpips= 0.0746
  dc6c3a7310c42e07_00001: psnr=25.6012, ssim= 0.8597, lpips= 0.1436
  7983738c2b4adad4_00014: psnr=27.6380, ssim= 0.8874, lpips= 0.1322
  71a27a839592fb3a_00000: psnr=26.0147, ssim= 0.8108, lpips= 0.1648
  1a8466443ffdc6c5_00007: psnr=28.6504, ssim= 0.9024, lpips= 0.1439
  774aa648451ced87_00074: psnr=25.4118, ssim= 0.8558, lpips= 0.1831
  975e3b9c0ee44348_00198: psnr=31.3707, ssim= 0.9367, lpips= 0.1149
  7d1a68f312ba2d95_00067: psnr=28.9065, ssim= 0.9216, lpips= 0.1560
  505a86992cc1b6ce_00005: psnr=25.2740, ssim= 0.8697, lpips= 0.1610
  414e2bf42ee45cc4_00161: psnr=30.3493, ssim= 0.9107, lpips= 0.1603
  e9b6564434ba856f_00002: psnr=33.9406, ssim= 0.9464, lpips= 0.0915
  e14fc8cb91357b29_00018: psnr=30.8109, ssim= 0.9485, lpips= 0.1607
  7b88a7e1a069a93a_00029: psnr=27.9287, ssim= 0.8917, lpips= 0.1743
  ee9503a872caad73_00006: psnr=35.6058, ssim= 0.9681, lpips= 0.0787
  399cfd9cfacc0499_00004: psnr=20.9818, ssim= 0.7317, lpips= 0.2111
  1203cc23b881ab8d_00055: psnr=24.7309, ssim= 0.8691, lpips= 0.1469
  8c5cc2b59d236f7f_00015: psnr=23.0356, ssim= 0.8526, lpips= 0.1820
  40904cd4b9e0579d_00052: psnr=29.0274, ssim= 0.9237, lpips= 0.0929
  2e4cac06a4f92261_00002: psnr=25.9934, ssim= 0.8566, lpips= 0.1987
  fe485c8b96b46c0a_00015: psnr=24.0242, ssim= 0.6892, lpips= 0.1904
  00e8df74b6805da7_00028: psnr=23.8562, ssim= 0.8423, lpips= 0.1858
  074653ff3928b9fe_00017: psnr=31.9672, ssim= 0.9399, lpips= 0.0925
  dff51d96b59df454_00031: psnr=36.1353, ssim= 0.9756, lpips= 0.0860
  d879362410eaf691_00001: psnr=26.9462, ssim= 0.8671, lpips= 0.2269
  60bf89b196577c8c_00005: psnr=30.5095, ssim= 0.9396, lpips= 0.1321
  3176f1532a468cbd_00008: psnr=34.9436, ssim= 0.9710, lpips= 0.0870
  0dd9e020b6d9d687_00000: psnr=29.9834, ssim= 0.9334, lpips= 0.1175
  4091c41c6909da3b_00060: psnr=35.8169, ssim= 0.9614, lpips= 0.0957
  754f7a46cc9770c6_00003: psnr=32.2959, ssim= 0.9436, lpips= 0.0977
  a14cdbc8771393d1_00031: psnr=27.0382, ssim= 0.9041, lpips= 0.1028
  2a8ef9e44f580d13_00021: psnr=26.5957, ssim= 0.8632, lpips= 0.1443
  df0389efcc51ac2d_00007: psnr=22.1338, ssim= 0.8126, lpips= 0.1984
  8cebe36289a4d5a0_00013: psnr=28.3908, ssim= 0.8939, lpips= 0.1088
  86cdad3c34f3941f_00010: psnr=29.1164, ssim= 0.9068, lpips= 0.1086
  3533396ef5f351ba_00038: psnr=19.7258, ssim= 0.6300, lpips= 0.2931
  15d4a976e4e7d3dd_00187: psnr=22.5587, ssim= 0.8870, lpips= 0.2095
  523bc6753cd13644_00020: psnr=23.9870, ssim= 0.7209, lpips= 0.2066
  e49065bc8c694f0d_00011: psnr=25.6474, ssim= 0.8496, lpips= 0.1753
  dfa54c21e3d2feb4_00010: psnr=26.8544, ssim= 0.8565, lpips= 0.1395
  3aaed2e6422d7d57_00137: psnr=32.1818, ssim= 0.9539, lpips= 0.1226
  2a3baeaa72b86812_00013: psnr=31.0004, ssim= 0.9111, lpips= 0.1558
  f71f8b27e6ef3f7e_00014: psnr=23.9377, ssim= 0.8426, lpips= 0.1835
  d42ca7833cd982fb_00014: psnr=27.1813, ssim= 0.9134, lpips= 0.1374
  145708c0216a06a7_00025: psnr=22.3208, ssim= 0.8257, lpips= 0.1684
  156f4c7dca878ff2_00024: psnr=26.7871, ssim= 0.8659, lpips= 0.1560
  c85f1c5375e60e21_00011: psnr=27.7687, ssim= 0.9284, lpips= 0.1142
  73c5bc59df929e8d_00016: psnr=33.9814, ssim= 0.9562, lpips= 0.1424
  d25404ee1e0c0607_00000: psnr=36.0872, ssim= 0.9778, lpips= 0.1037
  7323eacf27a3f67b_00179: psnr=33.2800, ssim= 0.9344, lpips= 0.1202
  4b85062505816744_00026: psnr=30.1783, ssim= 0.9280, lpips= 0.1283
  4803cf5deca2b38a_00011: psnr=23.7902, ssim= 0.9132, lpips= 0.1549
  848971384d2e2956_00024: psnr=29.8368, ssim= 0.9036, lpips= 0.1076
  e9f1e4315562d02c_00038: psnr=23.8270, ssim= 0.7734, lpips= 0.1882
  03e756bff92d49dd_00007: psnr=23.9660, ssim= 0.8811, lpips= 0.1581
  68aaef5b574f98d5_00140: psnr=25.1017, ssim= 0.8278, lpips= 0.1807
  cbe038e8be4f6b96_00005: psnr=28.8958, ssim= 0.9492, lpips= 0.1310
  2fdfa70413053b84_00018: psnr=27.4938, ssim= 0.9216, lpips= 0.1769
  701ee1118e22239d_00003: psnr=30.3755, ssim= 0.9393, lpips= 0.1741
  a942b6e69847940b_00002: psnr=32.7356, ssim= 0.9110, lpips= 0.1293
  96a7bdbfc462408d_00192: psnr=30.3944, ssim= 0.8839, lpips= 0.1184
  2177ca3a775a9ee9_00104: psnr=26.2343, ssim= 0.9135, lpips= 0.1657
  b62fcc6856e45647_00019: psnr=19.9165, ssim= 0.6519, lpips= 0.2521
